
Seconds, 126-1930
4.713333,0.000000,
4.720000,0.000000,
4.726667,0.000000,
4.733333,0.000000,
4.740000,0.000000,
4.746667,0.000000,
4.753333,0.000000,
4.760000,0.000000,
4.766667,0.000000,
4.773333,0.000000,
4.780000,0.000000,
4.786667,1.477258,
4.793333,1.477258,
4.800000,1.477258,
4.806667,0.000000,
4.813333,0.000000,
4.820000,0.000000,
4.826667,0.000000,
4.833333,0.000000,
4.840000,0.000000,
4.846667,0.000000,
4.853333,0.000000,
4.860000,0.000000,
4.866667,0.000000,
4.873333,0.000000,
4.880000,0.000000,
4.886667,0.000000,
4.893333,0.000000,
4.900000,0.000000,
4.906667,0.000000,
4.913333,0.000000,
4.920000,0.000000,
4.926667,0.000000,
4.933333,0.000000,
4.940000,0.000000,
4.946667,0.000000,
4.953333,0.000000,
4.960000,0.000000,
4.966667,0.000000,
4.973333,0.000000,
4.980000,0.000000,
4.986667,0.000000,
4.993333,0.000000,
5.000000,0.000000,
5.006667,0.000000,
5.013333,0.000000,
5.020000,0.000000,
5.026667,0.000000,
5.033333,0.000000,
5.040000,0.000000,
5.046667,0.000000,
5.053333,0.000000,
5.060000,0.000000,
5.066667,0.000000,
5.073333,0.000000,
5.080000,0.000000,
5.086667,0.000000,
5.093333,0.000000,
5.100000,0.000000,
5.106667,0.000000,
5.113333,0.000000,
5.120000,0.000000,
5.126667,0.000000,
5.133333,0.000000,
5.140000,0.000000,
5.146667,0.000000,
5.153333,1.477258,
5.160000,0.000000,
5.166667,2.954517,
5.173333,1.477258,
5.180000,1.477258,
5.186667,1.477258,
5.193333,1.477258,
5.200000,2.954517,
5.206667,1.477258,
5.213333,2.954517,
5.220000,11.818067,
5.226667,11.818067,
5.233333,11.818067,
5.240000,13.295326,
5.246667,14.772584,
5.253333,17.727101,
5.260000,22.158876,
5.266667,23.636135,
5.273333,29.545168,
5.280000,26.590651,
5.286667,28.067910,
5.293333,29.545168,
5.300000,29.545168,
5.306667,32.499685,
5.313333,33.976943,
5.320000,38.408719,
5.326667,33.976943,
5.333333,33.976943,
5.340000,36.931460,
5.346667,41.363235,
5.353333,39.885977,
5.360000,36.931460,
5.366667,35.454202,
5.373333,38.408719,
5.380000,38.408719,
5.386667,45.795011,
5.393333,45.795011,
5.400000,42.840494,
5.406667,42.840494,
5.413333,45.795011,
5.420000,45.795011,
5.426667,47.272269,
5.433333,50.226786,
5.440000,48.749528,
5.446667,50.226786,
5.453333,53.181303,
5.460000,56.135820,
5.466667,54.658561,
5.473333,56.135820,
5.480000,56.135820,
5.486667,56.135820,
5.493333,56.135820,
5.500000,54.658561,
5.506667,54.658561,
5.513333,56.135820,
5.520000,56.135820,
5.526667,56.135820,
5.533333,56.135820,
5.540000,56.135820,
5.546667,57.613078,
5.553333,59.090336,
5.560000,57.613078,
5.566667,57.613078,
5.573333,57.613078,
5.580000,56.135820,
5.586667,54.658561,
5.593333,54.658561,
5.600000,56.135820,
5.606667,57.613078,
5.613333,57.613078,
5.620000,57.613078,
5.626667,57.613078,
5.633333,59.090336,
5.640000,59.090336,
5.646667,57.613078,
5.653333,57.613078,
5.660000,59.090336,
5.666667,57.613078,
5.673333,54.658561,
5.680000,56.135820,
